,track_name,artist_name,album_name,genre,duration_ms,popularity,explicit,track_id,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,如果我一無所有 - EDM Remix,Namewee,如果我一無所有 (EDM Remix),malay,227586,35,False,7AWi4pU1bH3lQhoekn9km6,24jrxG0tKcwgAzsLuPzyMi,0.507,0.5,9,-8.509,1,0.0427,0.406,0.0,0.095,0.184,139.746
1,Beat of the Music,Brett Eldredge,Bring You Back,country,179293,62,False,3un2KQUaQ2brEpd8dK93wI,0qSX3s5pJnAlSsgsCne8Cz,0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001
2,Русская зима,Kvatro,Русская зима,romance,191339,9,False,7FLHpmCRuURgWa26rlq2ke,4L0lCujgiE9mafXNDtPXip,0.754,0.54,2,-7.499,1,0.0456,0.851,0.0,0.622,0.856,121.972
3,Harder Than You Think,Public Enemy,How You Sell Soul to a Soulless People Who Sold Their Soul?,hardcore,249521,61,False,5YpZh8wfS4moRBk0ijNcXr,6Mo9PoU6svvhgEum7wh2Nd,0.484,0.852,11,-4.442,0,0.274,0.0317,0.0,0.0547,0.766,103.578
4,Colder Weather,Zac Brown Band,You Get What You Give,country,273893,69,False,3U8dHeggJ8IBe0UCb1gbyB,6yJCxee7QumYr820xdIsjo,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975
5,Aryetti's Song,Otaku,Ghibli Lofi,anime,115616,58,False,1yPluCl0c17RcWyGjV7tw5,4uV63QZhfi1U3oe38acQJA,0.49,0.296,3,-20.157,0,0.0301,0.726,0.862,0.106,0.339,75.012
6,Necessary Evil,Unknown Mortal Orchestra,Multi-Love,chill,317800,57,False,4EZ2C0321dYtzKD0zEfsUy,1LeVJ5GPeYDOVUjxx1y7Rp,0.828,0.724,9,-7.217,1,0.113,0.045,0.0606,0.132,0.695,96.2
7,Safe Now,Henry Jackman,Captain Phillips (Original Motion Picture Soundtrack),british,192453,50,False,09OsZ4BlDXp67SKaGBvEUR,5SEW04tNMMrOz7UFQJA6vz,0.163,0.0108,2,-21.104,0,0.0421,0.8,0.81,0.0813,0.0343,130.284
8,Lemonade - Ukulele Version,Jeremy Passion,For More Than a Feeling,chill,181504,64,False,5nJzWhlrBfn3cfDLlaAgAO,5Z8UTQtTYNu5o5FA66LFgv,0.546,0.221,2,-8.915,1,0.063,0.868,0.0,0.0994,0.593,128.144
9,I'm Your Captain/Closer To Home - Remastered,Grand Funk Railroad,30 Years Of Funk: 1969-1999 The Anthology,blues,599560,54,False,2XhBBZ3vxsR57OwkNn5hQc,0qEcf3SFlpRcb3lK3f2GZI,0.339,0.583,7,-8.582,1,0.0338,0.0497,0.00108,0.165,0.379,101.449
10,Haa Tepok,MeerFly,Haa Tepok,malay,210942,45,True,65pndcjVsNEJpwxfTgcdv0,6aS7ThC5gaYqSm37ewW3Qk,0.848,0.502,10,-12.368,0,0.309,0.661,0.00252,0.152,0.683,87.496
11,Oatmeal,Mitch Hedberg,Strategic Grill Locations,comedy,164506,27,False,0J9LXDuBpclSqvc3gwo8eh,4njlfhIxklOkrds9Y9o5ZZ,0.502,0.292,2,-15.751,1,0.49,0.415,9.82e-05,0.181,0.659,96.812
12,CAN'T,Jor'dan Armstrong,CAN'T,afrobeat,220910,39,False,0FCzQqeK1Kqpmvjr4rrZ8H,2s0Vf0XkLyHCQfyvFDnTi8,0.772,0.587,1,-8.503,0,0.0545,0.0632,0.0,0.108,0.669,149.945
13,Theme From Mahogany (Do You Know Where You're Going To) - Single Version,Diana Ross,Diana Ross (Expanded Edition),disco,204493,47,False,10VbGCpgC4FtmYSwBLvIDX,3MdG05syQeRYPPcClLaUGl,0.323,0.42,0,-10.658,0,0.0291,0.553,0.002,0.096,0.286,139.842
14,I Surrender - Live,Hillsong UNITED,Of Dirt And Grace (Live From The Land),world-music,370453,45,False,2k3aNzgWxGhbuSLISu2ae1,74cb3MG0x0BOnYNW1uXYnM,0.332,0.236,1,-12.529,0,0.0288,0.604,0.0,0.322,0.105,98.25
15,Hands-Free,Hannibal Buress,Animal Furnace,comedy,77426,38,True,1fzt9ftvNEiuNqTReMg5wj,4GIqbOr0FgE9qmJ31kVYdD,0.669,0.781,3,-7.544,1,0.921,0.895,0.0,0.737,0.362,77.369
16,Center of All History,Steffany Gretzinger,Forever Amen,world-music,262946,42,False,5RJ7qUnmGgOey1zv6tO5av,2akNRvGNB400IDDUMr1PHW,0.588,0.107,0,-11.812,1,0.0342,0.807,0.000316,0.116,0.119,139.142
17,You Know,Khantrast,You Know,anime,130104,47,False,7G2F94UeULD13qhMqkDnq0,1MOetFIO4hBem9p9FVP9Jo,0.658,0.67,2,-5.532,1,0.0485,0.171,0.0,0.225,0.645,150.103
18,Darah Muda,Bunkface,Malam Ini Kita Punya,malay,228871,38,False,3l9ud186pEDXimCkJDDqwP,70B8WzgEFajrIE820yi08H,0.576,0.804,6,-4.413,1,0.0495,0.0693,0.0,0.0729,0.776,134.911
19,Nothing Takes The Place Of You,Tab Benoit,Medicine,acoustic,241426,45,False,0MlDHxlAD9Iu2CwkiW92yC,3ODYbknLzVe3cWQzVfbzGB,0.622,0.326,9,-7.6,1,0.0302,0.327,0.000566,0.0975,0.384,130.546
20,Fade into You,Andrew Belle,Fade into You,acoustic,291676,57,False,63F2nWghdifkNHVns5GT8W,3UAk61T8PItbpgEi9u7ofY,0.478,0.398,2,-10.124,1,0.0286,0.0222,0.0183,0.0826,0.371,159.906
21,Franklin's Tower,Orchestra Baobab,Day of the Dead,afrobeat,389026,23,False,7HYSpEAX6R0hPHd2vuL4Qj,7xT0arvCDupDU1YYy0BNv9,0.764,0.891,7,-5.567,1,0.0436,0.261,0.00553,0.191,0.843,106.439
22,Love Is Action,Tauren Wells,Hills and Valleys (Deluxe Edition),world-music,186108,41,False,6Q9eL9GwjTGK2SAw3rvwII,3SKza3YPBri1k43LB1Tqy4,0.682,0.848,9,-5.279,1,0.0393,0.0851,0.0,0.174,0.754,124.015
23,Tokai,Taeko Onuki,SUNSHOWER,anime,310173,50,False,1SmwJJ8YVgiXtyE6elhUx1,5QeCklzEEYSSLWeUxuWeBy,0.616,0.753,5,-8.365,0,0.0475,0.543,0.0012,0.0987,0.761,98.303
24,Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),british,122893,63,False,4fUKE8EULjQdHF4zb0M8FO,3WrFJ7ztbogyGnTHbHJFl2,0.451,0.673,7,-9.115,1,0.0734,0.0857,0.00225,0.797,0.583,95.513
25,Blue Bird (Naruto),Otaku,Anime Lofi Vol. 1,anime,111848,59,False,2HYPqSwitksTpCFzYmP7Po,4uV63QZhfi1U3oe38acQJA,0.58,0.229,1,-16.333,0,0.0308,0.287,0.856,0.104,0.127,70.013
26,Drown,Front Porch Step,Aware,acoustic,218368,54,False,3ktWkdvtG0CF0T2dEpek0H,4UXiNDHAiv8DOSLkp0GbSm,0.57,0.662,8,-3.872,1,0.0363,0.0966,0.0,0.161,0.856,94.948
27,Bila Hari Raya Menjelma,Dato' Sri Siti Nurhaliza,Saduran Syawal Suria,malay,283120,0,False,66krqRJ1ngjB3Bu1eWCT7t,5d0bxRte3J74ZXyEGRL8uU,0.651,0.684,2,-7.707,0,0.0302,0.0687,0.0,0.397,0.621,141.961
28,Pride Of A Father - Live,Hillsong Young & Free,Out Here On A Friday Where It Began (Live),world-music,312133,47,False,5kV00OWcCHmbSr3VIguyVj,7m4gF38CPATtHrk5HS42WZ,0.477,0.28,11,-10.417,1,0.0278,0.838,0.0,0.687,0.273,70.827
29,If Heaven Wasn't So Far Away,Justin Moore,Outlaws Like Me,country,223280,59,False,0aW7CSfoMBKBzLE7VerHyn,30e8DmahrEamvLbFRPdWmk,0.374,0.657,11,-6.086,1,0.0325,0.0434,0.0,0.219,0.376,74.234
30,A Day At The Races,Jurassic 5,Power In Numbers,hardcore,242600,54,True,2QBlIsDMYoHcANWylV74Oj,6wFId9Jhuf9AKVzWboOj2B,0.841,0.802,6,-6.236,0,0.239,0.112,8.63e-06,0.528,0.7,112.669
31,Dilo Como Yo (Te Están Llamando),Chico Mann,Manifest Tone EP,afrobeat,255435,31,False,3tz4X9gO0l6lOoh4ZvK7xg,2Wt6Q6ZHygCPVtMO3uxLGB,0.862,0.832,6,-5.3,0,0.0333,0.0693,0.633,0.065,0.973,119.998
32,Resentment,Madi Diaz,History Of A Feeling,acoustic,173426,53,False,2Dms8axOrrjXETwVwtvBF5,7E1o9IcnpiFQDlAUk2H7Az,0.554,0.122,11,-12.692,1,0.0614,0.883,0.0,0.107,0.381,166.355
33,Don't Start Now - Dom Dolla Remix,Dua Lipa,Pop Dance 20s,dance,210879,0,False,2xwumrevWoGmCtLewgapRD,6M2wZ9GZgrQXHCFfjv46we,0.862,0.897,2,-5.444,1,0.0365,0.0664,0.00543,0.263,0.603,123.998
34,Following Your Heart,Kato,Anime & Sleep 3,anime,43889,53,False,44tepK0e10HFBMjnhNw2P1,3yTNaLgtCufxUYDsWa5MpA,0.342,0.00517,2,-40.315,0,0.0592,0.995,0.944,0.0727,0.384,163.359
35,"""DEVILS NEVER CRY""(スタッフロール)",Capcom Sound Team,デビル メイ クライ 3 オリジナル・サウンドトラック,anime,319906,51,False,3ozivYJGJGq6TSzdy8m64X,3w1Q754jb31h5CXQCcnLNL,0.264,0.951,7,-7.356,1,0.146,0.000894,0.0442,0.127,0.159,149.99
36,天堂,Michael Wong,十光年精選輯,malay,217053,38,False,0wupipnCKoHtUH6xBP9iFf,26SQFo2qNNGOxh2PUAsTeO,0.475,0.268,1,-9.693,1,0.0283,0.866,0.0,0.13,0.21,76.753
37,Darker Shade of Black,Jackie Mittoo,The Keyboard King at Studio One,afrobeat,194293,40,False,5uCb2bQ9HcCY3c7kLq4Iur,6UTUjmko5raD927Hbx960a,0.689,0.564,6,-7.276,1,0.126,0.149,0.941,0.0909,0.758,87.474
38,Psalm 90 (Satisfy Us with Your Love),Shane & Shane,"Psalms, Hymns, and Spiritual Songs, Vol. 1",world-music,315007,47,False,1BsEjM4yjgsTlykhygDeNr,2LFbgsbEhfilNpQYW7mied,0.395,0.397,10,-9.125,1,0.0334,0.537,6.75e-05,0.125,0.229,131.527
39,Kiss from a Rose,Seal,Seal,british,288426,72,False,3YKptz29AsOlm7WAVnztBh,5GtMEZEeFFsuHY8ad4kOxv,0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745
40,Bittersweet,Lianne La Havas,Lianne La Havas,british,292506,51,False,4uawMXx8VZ7WMrjAVOaCMe,2RP4pPHTXlQpDnO9LvR7Yt,0.589,0.418,5,-7.456,0,0.0345,0.278,0.000361,0.192,0.277,137.87
41,Tiger Striped Sky,Roo Panes,Little Giant,british,241720,63,False,4C2aiAVTTVyZbCQZst5Xu1,0XHM5ZNJDU8e4CfbWMeSzC,0.473,0.317,2,-10.324,1,0.0318,0.944,0.0124,0.11,0.132,139.899
42,You've Really Got A Hold On Me,The Miracles,The Fabulous Miracles,blues,177706,58,False,7wLRmjiDYI6flIVzboUqSV,6TqQLejnHXMGr7KcegxUND,0.68,0.448,0,-8.398,1,0.0302,0.698,0.0,0.227,0.567,118.461
43,Talladega,Eric Church,The Outsiders,country,262280,63,False,1TKlBK9cSrM5u4CiL4SETS,2IvkS5MXK0vPGnwyJsrEyV,0.586,0.677,1,-8.343,1,0.0294,0.043,0.0936,0.0884,0.562,144.001
44,Mine,Alex Isley,Mine,chill,212571,55,False,1IxfE1rd0ngSFP8MSqYiv0,7E2ioKxoxI2J94tUkIx6As,0.347,0.395,6,-9.278,0,0.0567,0.828,1.06e-05,0.125,0.133,67.492
45,Mencari Konklusi,Hujan,Mencari Konklusi,malay,200680,37,False,2LgORYfsFTVgV8fsaEvJ7S,7FxVB5xQi2szfC6Us1ag9A,0.341,0.933,1,-5.544,0,0.0629,0.000367,6.8e-06,0.113,0.723,190.128
46,Before He Cheats,Carrie Underwood,Some Hearts,country,199946,76,False,0ZUo4YjG4saFnEJhdWp9Bt,4xFUf1FHVy696Q1JQZMTRj,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905
47,下定决心忘记你,Chen Li Juan,忘记你无能为力,malay,225360,25,False,6obE9ulpfWUBUQi6ZzpMbH,1QwSm0I8k0yH8A5BhslJmz,0.51,0.73,3,-4.994,0,0.0341,0.152,0.0,0.064,0.445,143.486
48,She's Leaving Home - Remastered 2009,The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Remastered),british,215160,60,False,3PjMtNzwhDHqxoKudm6GvF,3WrFJ7ztbogyGnTHbHJFl2,0.381,0.214,4,-11.629,1,0.0337,0.944,0.0,0.106,0.393,127.581
49,Cherry Bomb,NCT 127,NCT #127 CHERRY BOMB– The 3rd Mini Album,k-pop,236667,64,False,3o8QzWsiiqTUVgBZfHgF58,7f4ignuCJhLXfZ9giKT7rH,0.713,0.603,6,-4.896,0,0.287,0.000759,5.51e-06,0.0453,0.799,78.027
50,Everybody's Scared,Tom Papa,Human Mule,comedy,111176,28,False,3EoUJsYmXSkXuV6UFTNv0l,6nE9acH1D4T4D7Mx7MG0jJ,0.485,0.724,10,-15.06,1,0.942,0.817,0.0,0.668,0.0629,166.235
51,Interlude : Shadow,BTS,MAP OF THE SOUL : 7,k-pop,259821,68,False,7om4LRoSct9hiMPo0fPn7m,3Nrfpe0tUJi4K4DXYWgMUX,0.384,0.798,9,-6.439,0,0.434,0.115,0.0,0.181,0.146,149.854
52,Shogeki,Yuko Ando,Shogeki,anime,181594,63,False,5QwAdWCnauw0GpDzM3glrO,12dhEcVUnJVnIQLt91VdA3,0.399,0.723,11,-4.507,1,0.0681,0.124,0.0,0.352,0.22,137.032
53,Break Up with Him,Old Dominion,Meat and Candy,country,207733,63,False,5ZManJDV3CexO66nRCkdiV,6y8XlgIV8BLlIg1tT1R10i,0.617,0.632,8,-5.381,1,0.0371,0.0675,0.0,0.108,0.564,151.988
